50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 49 75 84
1 85 92 19
2 25 3 8
3 79 83 92
4 96 56 80
5 48 38 36
6 16 95 68
7 16 88 77
8 97 31 82
9 50 69 57
10 85 65 50
11 17 89 93
12 48 92 82
13 11 79 73
14 33 91 77
15 6 3 43
16 25 100 80
17 90 70 22
18 32 81 91
19 8 20 23
20 98 60 85
21 47 45 14
22 4 98 70
23 2 75 88
24 40 90 80
25 87 35 79
26 34 86 68
27 90 33 99
28 88 6 89
29 95 92 50
30 11 92 66
31 41 100 99
32 14 69 90
33 28 67 85
34 16 68 99
35 8 87 68
36 4 8 3
37 78 93 43
38 97 20 83
39 1 75 83
40 92 92 35
41 45 71 76
42 80 84 44
43 45 79 79
44 66 73 46
45 67 8 78
46 74 21 71
47 17 68 79
48 16 66 97
49 6 13 4
