50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 44 95 89
1 26 70 92
2 92 86 75
3 4 12 14
4 35 42 35
5 39 66 83
6 82 71 77
7 87 100 22
8 94 77 34
9 5 82 67
10 28 68 97
11 95 39 79
12 47 38 43
13 81 28 74
14 4 85 76
15 13 75 99
16 44 73 98
17 94 37 87
18 23 91 88
19 33 78 94
20 4 70 69
21 26 100 83
22 83 86 15
23 7 94 80
24 5 76 67
25 17 83 73
26 11 92 71
27 74 74 48
28 17 41 32
29 6 77 74
30 14 89 90
31 87 51 88
32 1 87 71
33 71 84 4
34 49 89 72
35 47 66 67
36 15 81 96
37 5 74 84
38 4 80 66
39 8 81 90
40 17 100 69
41 46 8 18
42 21 70 72
43 96 30 80
44 34 67 97
45 26 86 75
46 75 83 27
47 56 97 53
48 37 21 14
49 87 52 53
