200 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 16 42 20
1 63 2 96
2 59 60 28
3 18 42 69
4 85 6 24
5 72 77 51
6 6 91 16
7 23 35 63
8 28 95 56
9 10 89 87
10 17 32 69
11 22 24 42
12 29 59 18
13 94 1 54
14 80 23 80
15 20 11 48
16 45 57 4
17 79 14 88
18 8 72 42
19 18 95 89
20 18 21 92
21 52 4 56
22 37 11 64
23 16 73 93
24 12 17 77
25 51 80 15
26 83 12 79
27 60 54 98
28 70 2 78
29 39 83 75
30 23 39 34
31 41 46 97
32 15 93 48
33 46 95 15
34 48 35 69
35 91 72 5
36 85 80 92
37 34 49 11
38 15 52 68
39 44 86 87
40 53 12 51
41 22 92 98
42 79 14 8
43 59 76 1
44 17 53 7
45 6 8 37
46 50 54 86
47 41 42 67
48 70 17 27
49 46 92 51
50 5 42 75
51 10 59 89
52 17 72 11
53 4 62 63
54 94 90 87
55 70 14 58
56 42 37 22
57 73 16 94
58 48 95 14
59 80 3 3
60 57 18 41
61 86 33 98
62 44 89 96
63 76 69 11
64 97 97 25
65 88 80 65
66 60 49 13
67 57 40 30
68 46 43 72
69 46 85 71
70 38 67 31
71 42 67 41
72 71 66 21
73 93 11 10
74 59 2 9
75 14 21 92
76 89 66 19
77 77 91 79
78 85 97 1
79 34 73 19
80 100 66 25
81 83 100 26
82 79 83 5
83 92 55 29
84 76 97 16
85 42 87 16
86 35 25 50
87 95 53 35
88 59 16 60
89 27 89 38
90 90 52 97
91 37 99 66
92 78 39 84
93 66 39 66
94 9 85 23
95 66 23 76
96 65 12 82
97 39 6 9
98 59 51 5
99 33 50 27
100 93 33 57
101 59 34 36
102 40 60 6
103 29 96 100
104 94 94 35
105 37 46 40
106 29 17 21
107 75 91 14
108 94 50 78
109 81 57 37
110 78 97 63
111 35 84 16
112 6 38 45
113 17 3 95
114 18 6 97
115 74 50 18
116 19 7 39
117 36 10 87
118 65 6 10
119 90 64 61
120 15 55 45
121 50 88 81
122 64 9 89
123 85 69 34
124 98 53 97
125 76 68 76
126 29 87 94
127 37 19 36
128 36 74 84
129 32 17 88
130 86 34 76
131 17 50 68
132 67 47 73
133 84 19 20
134 29 46 19
135 72 51 86
136 27 82 89
137 81 36 95
138 58 60 31
139 18 45 27
140 76 89 44
141 69 7 61
142 1 21 90
143 88 67 59
144 36 43 24
145 73 53 8
146 58 43 10
147 30 57 7
148 93 16 100
149 85 48 89
150 52 60 99
151 68 5 34
152 71 21 63
153 29 97 100
154 34 75 73
155 54 74 52
156 89 28 4
157 81 41 75
158 61 89 41
159 18 37 47
160 13 73 19
161 85 5 42
162 15 8 86
163 64 79 46
164 86 8 50
165 43 100 97
166 32 42 99
167 76 3 14
168 1 36 2
169 27 59 1
170 9 17 8
171 32 24 68
172 27 19 61
173 13 39 17
174 97 74 23
175 72 75 90
176 71 73 94
177 71 74 2
178 40 67 29
179 91 15 81
180 68 2 83
181 85 4 68
182 23 13 85
183 42 78 23
184 47 14 10
185 97 45 23
186 64 71 29
187 76 42 67
188 35 19 11
189 67 60 31
190 17 24 51
191 32 77 57
192 13 7 95
193 38 2 67
194 12 43 12
195 38 50 57
196 91 22 75
197 91 94 63
198 58 23 66
199 17 40 79
