50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 5 86 100
1 91 67 43
2 48 46 24
3 69 20 85
4 33 87 77
5 79 38 88
6 8 98 93
7 6 75 83
8 7 80 92
9 13 75 100
10 6 93 67
11 41 87 97
12 78 79 43
13 17 90 89
14 3 95 84
15 46 76 68
16 23 71 94
17 48 79 74
18 46 31 34
19 45 45 32
20 39 71 73
21 4 91 73
22 76 35 86
23 77 50 70
24 70 93 56
25 96 69 41
26 20 66 87
27 23 84 80
28 45 69 83
29 27 74 96
30 92 73 13
31 97 31 69
32 9 78 96
33 87 88 28
34 41 77 69
35 76 74 54
36 16 74 81
37 11 86 98
38 37 72 97
39 68 100 20
40 28 74 100
41 16 81 97
42 18 93 68
43 76 5 72
44 29 94 78
45 27 82 76
46 40 68 93
47 33 66 91
48 8 98 68
49 1 84 70
