50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 41 92 82
1 17 83 67
2 45 99 88
3 27 84 88
4 34 85 74
5 30 69 88
6 26 80 74
7 10 89 70
8 68 23 93
9 22 78 84
10 77 7 93
11 21 22 43
12 79 49 77
13 39 87 98
14 25 67 75
15 20 72 100
16 11 93 93
17 21 74 97
18 14 8 42
19 88 89 43
20 11 74 74
21 5 80 99
22 44 74 92
23 10 66 84
24 85 37 66
25 84 43 67
26 83 3 74
27 88 84 77
28 44 69 82
29 49 97 98
30 17 74 79
31 33 89 95
32 38 70 75
33 88 70 73
34 92 98 15
35 88 80 8
36 26 84 81
37 14 90 67
38 64 59 92
39 74 50 55
40 44 96 85
41 79 23 80
42 24 91 97
43 5 89 81
44 27 73 88
45 82 46 84
46 91 92 84
47 29 75 97
48 73 26 74
49 12 9 42
