100 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 34 94 83
1 8 74 93
2 23 70 91
3 92 82 39
4 79 95 32
5 71 83 45
6 43 75 99
7 70 28 87
8 10 71 96
9 14 16 41
10 7 89 95
11 89 6 100
12 21 92 97
13 74 19 85
14 86 98 20
15 1 13 26
16 36 89 74
17 91 9 73
18 33 68 74
19 68 61 63
20 6 1 9
21 70 19 90
22 46 85 82
23 12 3 20
24 30 72 86
25 13 71 98
26 83 70 3
27 28 84 78
28 97 83 32
29 34 97 80
30 40 69 92
31 21 93 92
32 44 99 68
33 41 82 83
34 2 70 88
35 3 5 35
36 67 69 78
37 48 78 72
38 24 70 77
39 12 73 99
40 95 73 30
41 72 31 79
42 31 73 84
43 24 69 85
44 40 100 79
45 95 57 71
46 41 66 94
47 79 41 94
48 3 86 87
49 84 2 68
50 26 67 93
51 38 81 67
52 41 80 77
53 30 66 69
54 42 78 67
55 1 89 100
56 81 74 21
57 26 74 83
58 71 100 47
59 50 84 71
60 37 88 77
61 85 66 33
62 31 2 30
63 32 96 98
64 78 3 87
65 18 23 39
66 12 76 86
67 72 48 79
68 24 44 17
69 29 87 94
70 28 50 34
71 27 86 95
72 80 91 20
73 88 13 94
74 68 78 60
75 95 83 26
76 72 78 47
77 16 6 6
78 84 86 71
79 87 68 15
80 78 75 15
81 26 88 66
82 42 69 84
83 11 83 78
84 12 78 97
85 76 41 72
86 44 90 76
87 49 78 90
88 13 88 89
89 22 84 81
90 41 86 97
91 82 93 62
92 11 74 87
93 73 23 69
94 45 75 96
95 97 34 85
96 58 67 92
97 44 17 7
98 30 5 24
99 54 92 98
