50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 47 68 86
1 31 93 76
2 16 84 99
3 51 83 54
4 33 66 70
5 44 94 75
6 18 83 99
7 2 31 31
8 1 92 91
9 85 77 53
10 14 68 82
11 45 45 39
12 24 93 98
13 45 98 67
14 90 6 82
15 10 70 70
16 9 87 72
17 74 83 6
18 73 68 10
19 95 66 2
20 3 91 95
21 12 86 93
22 79 39 73
23 5 84 66
24 21 66 73
25 81 97 7
26 24 66 70
27 71 78 23
28 88 86 64
29 11 79 74
30 13 90 96
31 77 77 75
32 98 27 81
33 50 75 98
34 7 72 85
35 4 70 97
36 36 80 74
37 100 73 63
38 21 79 75
39 5 66 86
40 30 78 85
41 20 48 11
42 90 50 97
43 62 70 82
44 13 22 5
45 17 85 82
46 38 75 90
47 45 73 86
48 2 78 80
49 7 95 98
