50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 7 93 98
1 5 66 74
2 7 95 73
3 39 96 90
4 34 80 88
5 18 92 79
6 89 75 7
7 20 87 84
8 68 39 83
9 4 94 86
10 43 94 86
11 15 91 86
12 4 78 87
13 33 94 95
14 43 12 26
15 42 84 96
16 37 84 67
17 9 66 92
18 50 84 85
19 8 79 66
20 99 69 85
21 41 78 82
22 16 99 83
23 79 96 20
24 90 43 82
25 67 25 91
26 32 86 85
27 9 89 81
28 32 93 96
29 89 87 50
30 85 10 88
31 1 38 1
32 42 45 32
33 40 80 88
34 50 73 83
35 100 71 8
36 34 72 83
37 32 8 27
38 3 93 70
39 39 74 92
40 38 88 68
41 69 9 72
42 16 77 91
43 37 49 42
44 7 48 2
45 87 20 72
46 84 11 97
47 5 84 96
48 22 86 85
49 50 72 81
