50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 50 83 93
1 42 80 66
2 73 1 98
3 67 97 49
4 34 88 91
5 88 91 23
6 94 100 92
7 29 87 91
8 4 86 74
9 30 46 37
10 80 92 23
11 72 12 83
12 25 92 77
13 70 49 78
14 24 89 83
15 88 73 24
16 92 79 37
17 25 81 84
18 89 60 69
19 20 78 91
20 81 75 23
21 76 54 90
22 20 98 91
23 50 47 22
24 6 80 74
25 41 77 93
26 72 72 27
27 87 15 89
28 24 69 91
29 18 94 85
30 91 93 92
31 19 76 73
32 46 84 77
33 89 65 52
34 73 77 97
35 15 43 33
36 100 99 56
37 18 67 81
38 79 50 56
39 50 83 79
40 3 82 69
41 17 78 99
42 19 79 81
43 32 74 73
44 95 3 69
45 97 82 61
46 39 83 74
47 40 87 71
48 91 88 10
49 89 2 84
