100 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 36 66 93
1 82 13 99
2 50 63 52
3 32 90 86
4 23 88 98
5 95 25 98
6 39 87 68
7 49 5 10
8 36 2 22
9 7 40 4
10 44 90 79
11 78 68 78
12 47 91 81
13 83 85 50
14 16 83 67
15 79 78 74
16 80 7 82
17 71 91 59
18 97 11 75
19 27 86 70
20 2 78 73
21 42 76 99
22 13 74 79
23 9 76 92
24 47 6 8
25 21 34 3
26 25 40 41
27 12 89 79
28 37 72 100
29 38 75 91
30 36 71 97
31 48 70 67
32 27 78 77
33 19 29 8
34 11 66 67
35 60 96 56
36 89 15 98
37 19 88 86
38 40 91 85
39 98 82 6
40 35 87 85
41 67 74 16
42 31 92 72
43 73 38 78
44 18 79 90
45 48 98 74
46 42 94 98
47 34 86 87
48 17 74 69
49 33 80 79
50 17 18 20
51 31 88 81
52 35 96 84
53 44 90 91
54 26 69 76
55 22 79 93
56 40 15 14
57 34 82 92
58 33 88 78
59 44 86 77
60 44 77 71
61 77 87 87
62 94 83 23
63 71 40 77
64 30 81 77
65 33 79 83
66 32 94 97
67 8 42 14
68 75 90 50
69 70 54 60
70 26 68 69
71 12 88 81
72 36 44 23
73 99 57 81
74 35 91 68
75 1 78 99
76 68 44 81
77 49 76 97
78 46 71 70
79 16 80 96
80 35 92 93
81 70 58 65
82 13 79 97
83 1 34 28
84 24 67 86
85 19 67 94
86 40 48 46
87 43 95 82
88 17 90 71
89 24 86 89
90 25 91 75
91 97 22 80
92 88 88 36
93 83 81 100
94 63 79 57
95 98 88 99
96 78 2 91
97 48 100 71
98 63 70 95
99 15 69 67
