50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 44 100 79
1 51 100 65
2 1 82 88
3 39 49 17
4 89 79 24
5 35 97 92
6 25 93 67
7 25 88 84
8 50 98 73
9 12 98 81
10 41 67 78
11 46 90 90
12 80 67 64
13 8 67 68
14 94 88 14
15 17 79 71
16 83 72 5
17 31 85 81
18 19 78 87
19 20 89 98
20 83 95 15
21 39 66 74
22 8 97 78
23 8 91 70
24 36 87 72
25 11 82 81
26 49 22 23
27 84 59 67
28 30 92 84
29 94 59 67
30 16 75 85
31 9 100 81
32 98 73 25
33 43 92 79
34 70 33 93
35 43 84 73
36 45 83 82
37 34 99 82
38 98 73 60
39 12 72 93
40 97 86 44
41 73 15 68
42 23 39 34
43 42 84 87
44 6 88 86
45 74 54 53
46 39 90 71
47 50 94 89
48 23 68 92
49 10 83 77
